XXSDLEA,New_RCDT,Source,Comments
~42660,~01086001026,Unified,
~42690,~11087001026,Unified,
~42790,~04101323026,Unified,
~42990,~30091084026,Unified,
~43330,~44063200026,Unified,
~43800,~21028188026,Unified,
~43960,~24047115026,Unified,
~43962,~53060191026,Unified,
~00009,~30073050002,Elem,
~00010,~34049003004,Elem,
~00065,~17053438004,Elem,
~00077,~44063165003,Elem,
~00103,~17054088002,Elem,
~00112,~35050044002,Elem,
~00119,~34049112002,Elem,
~00222,~44063002003,Elem,
~00330,~09010197004,Elem,
~01411,~47098020002,Elem,
~01419,~13041178004,Elem,
~03150,~19022004002,Elem,
~03210,~21028091004,Elem,
~03270,~13014063002,Elem,
~03420,~35050065004,Elem,
~03480,~07016126002,Elem,
~03750,~30091037004,Elem,
~03840,~34049034004,Elem,
~03900,~34049102004,Elem,
~03930,~07016145002,Elem,
~04050,~07016104002,Elem,
~04140,~05016025002,Elem,
~04200,~54092061003,Elem,
~04340,~13095015004,Elem,
~04560,~07016125002,Elem,
~04740,~13014021002,Elem,
~04800,~05016037002,Elem,
~04950,~34049106002,Elem,
~05160,~13014057002,Elem,
~05190,~48072066002,Elem,
~05466,~35050150002,Elem,
~05570,~13041005004,Elem,
~05580,~50082119002,Elem,
~05610,~50082118002,Elem,
~05760,~06016088002,Elem,
~05880,~19022025002,Elem,
~05910,~19022002002,Elem,
~05950,~21028047004,Elem,
~06000,~06016087002,Elem,
~06060,~06016098002,Elem,
~06090,~06016100002,Elem,
~06180,~13041082002,Elem,
~06270,~34049038002,Elem,
~06450,~19022013002,Elem,
~06510,~07016130002,Elem,
~06630,~13041114004,Elem,
~06750,~32046053002,Elem,
~06840,~24032075002,Elem,
~06930,~32046061002,Elem,
~07010,~13014012004,Elem,
~07170,~07016109002,Elem,
~07290,~07016113A02,Elem,
~07320,~06016095002,Elem,
~07740,~21044043003,Elem,
~07860,~07016154502,Elem,
~07980,~19022053002,Elem,
~08100,~07016156002,Elem,
~08130,~07016132002,Elem,
~08310,~49081036002,Elem,
~08340,~30039095002,Elem,
~08680,~26034317004,Elem,
~08730,~44063026004,Elem,
~08790,~19022063002,Elem,
~08970,~19022066002,Elem,
~09150,~53090051002,Elem,
~09170,~50082104002,Elem,
~09180,~13058133002,Elem,
~09210,~56099091002,Elem,
~09270,~13058135002,Elem,
~09510,~56099088002,Elem,
~09540,~56099017002,Elem,
~09850,~17054061004,Elem,
~09960,~07016170002,Elem,
~09990,~07016127502,Elem,
~10200,~06016099002,Elem,
~10380,~05016073502,Elem,
~10470,~19022093004,Elem,
~10690,~28037190002,Elem,
~10860,~17053426004,Elem,
~10950,~07016169002,Elem,
~11010,~07016160002,Elem,
~11220,~47071161004,Elem,
~11290,~53090076002,Elem,
~11350,~44063047004,Elem,
~11520,~21044064002,Elem,
~11670,~26034327004,Elem,
~11700,~28006098002,Elem,
~11730,~13014062002,Elem,
~11910,~35050082004,Elem,
~11980,~34049109002,Elem,
~12120,~05016062004,Elem,
~12150,~30039086003,Elem,
~12210,~34049076002,Elem,
~12270,~35050175004,Elem,
~12420,~07016149002,Elem,
~12450,~07016148002,Elem,
~12540,~19022058002,Elem,
~12840,~17053232002,Elem,
~12960,~41057013002,Elem,
~13140,~05016063002,Elem,
~13170,~49081037002,Elem,
~13240,~53090086002,Elem,
~13260,~05016073002,Elem,
~13440,~06016092002,Elem,
~13770,~05016059004,Elem,
~14160,~56099203004,Elem,
~14220,~50082175002,Elem,
~14250,~34049033002,Elem,
~14410,~47071269004,Elem,
~14460,~05016065004,Elem,
~14550,~07016124002,Elem,
~14640,~21028115004,Elem,
~14710,~20096112004,Elem,
~14760,~56099089002,Elem,
~14820,~05016072002,Elem,
~14940,~13041099004,Elem,
~15090,~13041003004,Elem,
~15420,~07016161002,Elem,
~15450,~06016091002,Elem,
~15480,~07016142002,Elem,
~15630,~34049114002,Elem,
~15660,~44063003003,Elem,
~15700,~56099157C04,Elem,
~15780,~06016084002,Elem,
~15820,~50082070004,Elem,
~15930,~34049079002,Elem,
~16230,~24032072C04,Elem,
~16290,~34049037002,Elem,
~16320,~20096014004,Elem,
~16530,~13014060002,Elem,
~16560,~53102069002,Elem,
~16590,~30039130004,Elem,
~16650,~09010188004,Elem,
~16800,~19022041002,Elem,
~16860,~05016035002,Elem,
~16920,~05016034004,Elem,
~16950,~07016167002,Elem,
~17040,~19022068002,Elem,
~17160,~19022062002,Elem,
~17190,~13041006004,Elem,
~17220,~35050095004,Elem,
~17310,~50082110004,Elem,
~17490,~34049036002,Elem,
~17520,~34049046004,Elem,
~17800,~34049056002,Elem,
~17850,~05016027002,Elem,
~18090,~49081029002,Elem,
~18360,~44063036002,Elem,
~18450,~07016152002,Elem,
~18480,~07016147002,Elem,
~18570,~34049073004,Elem,
~18600,~07016152502,Elem,
~18960,~50082116002,Elem,
~19110,~06016106002,Elem,
~19230,~06016093002,Elem,
~19290,~19022181004,Elem,
~19420,~48072328003,Elem,
~19500,~56099033C04,Elem,
~19530,~07016153002,Elem,
~19680,~07016157002,Elem,
~20190,~13095011004,Elem,
~20220,~19022010002,Elem,
~20250,~13058007004,Elem,
~20370,~20096017004,Elem,
~20580,~56099086005,Elem,
~20640,~30091043004,Elem,
~20880,~19022020002,Elem,
~20910,~13058002003,Elem,
~20970,~05016038002,Elem,
~21030,~34049096004,Elem,
~21130,~47071144003,Elem,
~21180,~04101131004,Elem,
~21270,~07016140002,Elem,
~21420,~06016094002,Elem,
~21450,~19022061002,Elem,
~21510,~28006094004,Elem,
~21600,~06016102002,Elem,
~21630,~06016105002,Elem,
~21690,~26034347004,Elem,
~21720,~34049065002,Elem,
~21750,~34049067005,Elem,
~21870,~34049041004,Elem,
~22020,~07016158002,Elem,
~22050,~56099070C04,Elem,
~22080,~35050122002,Elem,
~22800,~34049070002,Elem,
~22860,~30091016004,Elem,
~22920,~48072316004,Elem,
~22980,~17054027002,Elem,
~23090,~34049103002,Elem,
~23100,~05016074002,Elem,
~23160,~24047090004,Elem,
~23460,~19022044002,Elem,
~23700,~09010142004,Elem,
~23730,~56099092002,Elem,
~23850,~06016103002,Elem,
~24000,~19022060002,Elem,
~24120,~28006084004,Elem,
~24270,~56099114002,Elem,
~24330,~06016083002,Elem,
~24420,~05016030002,Elem,
~24720,~07016144002,Elem,
~24780,~19022015002,Elem,
~25020,~07016162002,Elem,
~25110,~06016089002,Elem,
~25190,~24032002C02,Elem,
~25260,~13041012004,Elem,
~25290,~44063015004,Elem,
~25500,~19022011002,Elem,
~25620,~35050289004,Elem,
~25740,~53102001004,Elem,
~25920,~07016143002,Elem,
~26100,~34049024004,Elem,
~26190,~50082160004,Elem,
~26250,~35050210004,Elem,
~26310,~24032201004,Elem,
~26370,~56099159002,Elem,
~26490,~48072070002,Elem,
~26590,~47098145004,Elem,
~26610,~24032054002,Elem,
~26820,~05016067002,Elem,
~26850,~05016070002,Elem,
~27210,~05016057002,Elem,
~27340,~13041080002,Elem,
~27540,~34049075002,Elem,
~27720,~13095049004,Elem,
~27930,~24032024C04,Elem,
~28110,~20096006004,Elem,
~28140,~56099122002,Elem,
~28160,~21044032003,Elem,
~28270,~24047066004,Elem,
~28500,~05016071002,Elem,
~28650,~06016080002,Elem,
~28890,~07016117002,Elem,
~28920,~53090102002,Elem,
~28980,~05016028002,Elem,
~29040,~48072063002,Elem,
~29100,~48072068002,Elem,
~29130,~34049068002,Elem,
~29190,~07016123002,Elem,
~29250,~06016097002,Elem,
~29310,~13095001004,Elem,
~29520,~17053435004,Elem,
~29670,~35050125002,Elem,
~29700,~28006017004,Elem,
~29760,~50082090004,Elem,
~30220,~07016135002,Elem,
~30300,~35050141002,Elem,
~30420,~05016015004,Elem,
~30510,~19022180004,Elem,
~30570,~07016128002,Elem,
~30600,~07016118004,Elem,
~30810,~07016163002,Elem,
~30840,~05016064004,Elem,
~30900,~07016133002,Elem,
~31080,~53090108002,Elem,
~31140,~32046259004,Elem,
~31200,~06016079002,Elem,
~31380,~35050124002,Elem,
~31560,~30073204004,Elem,
~31860,~48072069002,Elem,
~31950,~48072062002,Elem,
~32040,~06016107002,Elem,
~32090,~54092010026,Elem,
~32160,~17053429004,Elem,
~32190,~50082105002,Elem,
~32370,~07016143502,Elem,
~32490,~45079134004,Elem,
~32520,~44063046003,Elem,
~32550,~04101133004,Elem,
~32670,~28006115002,Elem,
~32850,~05016023002,Elem,
~32970,~19022016002,Elem,
~33030,~13058001003,Elem,
~33120,~53090098002,Elem,
~33210,~09010137002,Elem,
~33390,~06016084502,Elem,
~33450,~56099088A02,Elem,
~33690,~07016122002,Elem,
~33750,~44063018004,Elem,
~33810,~06016090002,Elem,
~33840,~06016085502,Elem,
~33870,~05016026002,Elem,
~33990,~06016096002,Elem,
~34110,~53102002004,Elem,
~34170,~53090085002,Elem,
~34260,~47071231004,Elem,
~34350,~47098013002,Elem,
~34470,~56099084002,Elem,
~34540,~04101140004,Elem,
~34590,~13041002004,Elem,
~34620,~34049072002,Elem,
~34650,~17053425004,Elem,
~34710,~19022012002,Elem,
~34740,~05016054004,Elem,
~34770,~06016078002,Elem,
~35100,~35050230004,Elem,
~35160,~13058111002,Elem,
~35220,~19022048002,Elem,
~35340,~07016172002,Elem,
~35400,~24032060C04,Elem,
~35460,~07016168004,Elem,
~35640,~06016081002,Elem,
~35770,~13058010004,Elem,
~35820,~35050170004,Elem,
~36210,~50082085002,Elem,
~36240,~04101134004,Elem,
~36300,~07016159002,Elem,
~36330,~50082181002,Elem,
~36360,~49081034002,Elem,
~36450,~05016068002,Elem,
~36480,~05016069002,Elem,
~36510,~50082130004,Elem,
~36720,~07016150002,Elem,
~36750,~07016151002,Elem,
~36780,~53090137002,Elem,
~36810,~07016111002,Elem,
~36840,~24032074003,Elem,
~37020,~53090606004,Elem,
~37050,~28006099004,Elem,
~37120,~32046256004,Elem,
~37320,~32046258004,Elem,
~37380,~09010169004,Elem,
~37440,~50082030003,Elem,
~37470,~13014141502,Elem,
~37680,~07016194002,Elem,
~37800,~47052220002,Elem,
~37860,~07016110002,Elem,
~38190,~13041079002,Elem,
~38220,~56099161002,Elem,
~38370,~07016171002,Elem,
~38400,~05016029002,Elem,
~38520,~56099090002,Elem,
~38550,~30073005002,Elem,
